Tenor|Pinjam|Angsuran
6|2000000|500000
6|2500000|620000
6|3000000|730000
6|3500000|847000
6|4000000|963000
6|4500000|1085000
6|5000000|1161000
6|5500000|1263000
6|6000000|1360000
6|6500000|1460000
6|7000000|1562000
6|7500000|1660000
6|8000000|1764000
6|8500000|1865000
6|9000000|1964000
6|9500000|2063000
6|10000000|2168000
6|10500000|2377000
6|11000000|2481000
6|11500000|2593000
6|12000000|2705000
6|12500000|2816000
6|13000000|2927000
6|13500000|3040000
6|14000000|3139000
6|14500000|3214000
6|15000000|3324000
6|15500000|3408000
6|16000000|3518000
6|16500000|3627000
6|17000000|3726000
6|17500000|3835000
6|18000000|3926000
6|18500000|4034000
6|19000000|4141000
6|19500000|4251000
6|20000000|4359000
6|20500000|4477000
6|21000000|4590000
6|21500000|4699000
6|22000000|4801000
6|22500000|4915000
6|23000000|5019000
6|23500000|5127000
6|24000000|5237000
6|24500000|5344000
6|25000000|5453000
6|25500000|5559000
6|26000000|5674000
6|26500000|5777000
6|27000000|5885000
6|27500000|5993000
6|28000000|6102000
6|28500000|6209000
6|29000000|6318000
6|29500000|6427000
6|30000000|6535000
6|30500000|6644000
6|31000000|6753000
6|31500000|6859000
6|32000000|6970000
6|32500000|7076000
6|33000000|7184000
6|33500000|7293000
6|34000000|7401000
6|34500000|7512000
6|35000000|7619000
6|35500000|7726000
6|36000000|7834000
6|36500000|7943000
6|37000000|8053000
6|37500000|8159000
6|38000000|8269000
6|38500000|8382000
6|39000000|8485000
6|39500000|8599000
6|40000000|8707000
6|40500000|8810000
6|41000000|8924000
6|41500000|9026000
6|42000000|9135000
6|42500000|9243000
6|43000000|9357000
6|43500000|9462000
6|44000000|9574000
6|44500000|9680000
6|45000000|9785000
6|45500000|9894000
6|46000000|10020000
6|46500000|10130000
6|47000000|10224000
6|47500000|10332000
6|48000000|10435000
6|48500000|10543000
6|49000000|10653000
6|49500000|10762000
6|50000000|10874000
12|2500000|328000
12|3000000|390000
12|3500000|452000
12|4000000|515000
12|4500000|577000
12|5000000|627000
12|5500000|686000
12|6000000|741000
12|6500000|795000
12|7000000|854000
12|7500000|910000
12|8000000|968000
12|8500000|1021000
12|9000000|1080000
12|9500000|1135000
12|10000000|1193000
12|10500000|1248000
12|11000000|1298000
12|11500000|1357000
12|12000000|1411000
12|12500000|1465000
12|13000000|1519000
12|13500000|1574000
12|14000000|1629000
12|14500000|1683000
12|15000000|1743000
12|15500000|1800000
12|16000000|1859000
12|16500000|1920000
12|17000000|1979000
12|17500000|2039000
12|18000000|2089000
12|18500000|2155000
12|19000000|2210000
12|19500000|2269000
12|20000000|2335000
12|20500000|2412000
12|21000000|2470000
12|21500000|2529000
12|22000000|2587000
12|22500000|2645000
12|23000000|2704000
12|23500000|2762000
12|24000000|2820000
12|24500000|2879000
12|25000000|2937000
12|25500000|2995000
12|26000000|3054000
12|26500000|3112000
12|27000000|3170000
12|27500000|3229000
12|28000000|3287000
12|28500000|3345000
12|29000000|3404000
12|29500000|3462000
12|30000000|3520000
12|30500000|3579000
12|31000000|3637000
12|31500000|3695000
12|32000000|3754000
12|32500000|3812000
12|33000000|3870000
12|33500000|3929000
12|34000000|3987000
12|34500000|4045000
12|35000000|4104000
12|35500000|4162000
12|36000000|4220000
12|36500000|4279000
12|37000000|4337000
12|37500000|4395000
12|38000000|4454000
12|38500000|4512000
12|39000000|4570000
12|39500000|4629000
12|40000000|4687000
12|40500000|4745000
12|41000000|4804000
12|41500000|4862000
12|42000000|4920000
12|42500000|4979000
12|43000000|5037000
12|43500000|5095000
12|44000000|5154000
12|44500000|5212000
12|45000000|5270000
12|45500000|5329000
12|46000000|5387000
12|46500000|5445000
12|47000000|5504000
12|47500000|5562000
12|48000000|5620000
12|48500000|5679000
12|49000000|5737000
12|49500000|5795000
12|50000000|5854000
18|3000000|295000
18|3500000|340000
18|4000000|380000
18|4500000|426000
18|5000000|473000
18|5500000|514000
18|6000000|557000
18|6500000|598000
18|7000000|638000
18|7500000|682000
18|8000000|721000
18|8500000|763000
18|9000000|807000
18|9500000|848000
18|10000000|892000
18|10500000|934000
18|11000000|978000
18|11500000|1024000
18|12000000|1063000
18|12500000|1112000
18|13000000|1138000
18|13500000|1200000
18|14000000|1245000
18|14500000|1289000
18|15000000|1330000
18|15500000|1375000
18|16000000|1419000
18|16500000|1459000
18|17000000|1509000
18|17500000|1555000
18|18000000|1591000
18|18500000|1643000
18|19000000|1690000
18|19500000|1735000
18|20000000|1780000
18|20500000|1836000
18|21000000|1880000
18|21500000|1926000
18|22000000|1969000
18|22500000|2015000
18|23000000|2065000
18|23500000|2102000
18|24000000|2147000
18|24500000|2191000
18|25000000|2243000
18|25500000|2281000
18|26000000|2326000
18|26500000|2369000
18|27000000|2413000
18|27500000|2459000
18|28000000|2503000
18|28500000|2549000
18|29000000|2591000
18|29500000|2636000
18|30000000|2680000
18|30500000|2724000
18|31000000|2771000
18|31500000|2816000
18|32000000|2861000
18|32500000|2905000
18|33000000|2949000
18|33500000|2991000
18|34000000|3038000
18|34500000|3081000
18|35000000|3126000
18|35500000|3171000
18|36000000|3213000
18|36500000|3261000
18|37000000|3303000
18|37500000|3349000
18|38000000|3391000
18|38500000|3439000
18|39000000|3479000
18|39500000|3526000
18|40000000|3571000
18|40500000|3620000
18|41000000|3661000
18|41500000|3706000
18|42000000|3749000
18|42500000|3791000
18|43000000|3838000
18|43500000|3884000
18|44000000|3926000
18|44500000|3971000
18|45000000|4014000
18|45500000|4061000
18|46000000|4101000
18|46500000|4149000
18|47000000|4191000
18|47500000|4241000
18|48000000|4283000
18|48500000|4330000
18|49000000|4373000
18|49500000|4418000
18|50000000|4459000
24|3000000|250000
24|3500000|290000
24|4000000|315000
24|4500000|355000
24|5000000|400000
24|5500000|434000
24|6000000|466000
24|6500000|500000
24|7000000|537000
24|7500000|570000
24|8000000|604000
24|8500000|638000
24|9000000|675000
24|9500000|713000
24|10000000|750000
24|10500000|788000
24|11000000|825000
24|11500000|863000
24|12000000|899000
24|12500000|939000
24|13000000|975000
24|13500000|1013000
